kind,key,value
blog_keyword,건대,219
blog_keyword,광진구,178
blog_keyword,건대입구역,134
blog_keyword,건대맛집,62
blog_keyword,건대점,59
blog_keyword,아차산로,58
blog_keyword,매일,44
blog_keyword,도보,36
blog_keyword,출구에서,33
blog_keyword,동일로,33
blog_keyword,건대입구역맛집,28
blog_keyword,호선,26
blog_keyword,능동로,26
blog_keyword,술집,26
blog_keyword,주차,26
blog_keyword,건대입구맛집,25
blog_keyword,보드게임카페,24
blog_keyword,건대데이트,23
blog_keyword,건대술집,22
blog_keyword,시간,21
blog_keyword,정보,20
blog_keyword,성수,19
blog_keyword,분위기,19
blog_keyword,건대입구역에서,19
blog_keyword,지하,19
blog_keyword,건대입구카페,18
blog_keyword,키랩,18
blog_keyword,서울특별시,17
blog_keyword,화양동,17
blog_keyword,건대카페,16
blog_keyword,가성비,16
blog_keyword,새마을,16
blog_keyword,디저트,16
blog_keyword,이용,16
blog_keyword,건대본점,16
blog_keyword,거리에,15
blog_keyword,데이트,15
blog_keyword,위치해,14
blog_keyword,있어,14
blog_keyword,건대보드게임카페,14
blog_keyword,건대입구역카페,13
blog_keyword,운동포차,13
blog_keyword,있어요,13
blog_keyword,다양한,12
blog_keyword,건대입구역술집,12
blog_keyword,흐릇,11
blog_keyword,오캄,11
blog_keyword,출구,11
blog_keyword,가능,11
blog_keyword,지하철,11
category,"호프,요리주점",57
category,중국요리,42
category,한식,39
category,양꼬치,31
category,카페,28
category,약국,24
category,실내포장마차,22
category,"육류,고기",22
category,일본식주점,20
category,"제과,베이커리",18
category,"곱창,막창",17
category,치과,17
category,분식,16
category,칵테일바,16
category,일식,15
category,피부과,15
category,술집,14
category,테마카페,14
category,중식,12
category,양식,12
category,CU,11
category,디저트카페,10
category,삼겹살,9
category,샤브샤브,9
category,"돈까스,우동",9
category,닭요리,9
category,세븐일레븐,9
category,"해물,생선",8
category,"초밥,롤",8
category,커피전문점,8
