kind,key,value
blog_keyword,강서구,350
blog_keyword,강서로,151
blog_keyword,까치산,105
blog_keyword,화곡동,97
blog_keyword,매일,74
blog_keyword,까치산역맛집,74
blog_keyword,곰달래로,67
blog_keyword,핵밥,50
blog_keyword,디저트,49
blog_keyword,까치산점,48
blog_keyword,주차,47
blog_keyword,까치산역점,37
blog_keyword,까치산역카페,35
blog_keyword,오늘은,34
blog_keyword,안녕하세요,34
blog_keyword,출구에서,33
blog_keyword,강서,33
blog_keyword,분위기,33
blog_keyword,까치산맛집,30
blog_keyword,서울특별시,30
blog_keyword,화곡미담분식,29
blog_keyword,광선집,28
blog_keyword,티소트,28
blog_keyword,별이네,28
blog_keyword,매주,27
blog_keyword,정기휴무,27
blog_keyword,도보,27
blog_keyword,소금빵,26
blog_keyword,근처,25
blog_keyword,시간,25
blog_keyword,근처에,25
blog_keyword,화곡동맛집,24
blog_keyword,위치한,23
blog_keyword,포장,23
blog_keyword,까치산역에서,22
blog_keyword,브라이트,22
blog_keyword,화곡,21
blog_keyword,일요일,21
blog_keyword,나길,21
blog_keyword,본점,21
blog_keyword,출구,20
blog_keyword,커피집,20
blog_keyword,화곡역,19
blog_keyword,카페를,19
blog_keyword,점심,19
blog_keyword,맥켄지커피,18
blog_keyword,가능,18
blog_keyword,보드게임카페,18
blog_keyword,휴무,17
blog_keyword,떡볶이,16
category,한식,22
category,"육류,고기",22
category,카페,21
category,치과,19
category,술집,18
category,분식,16
category,"호프,요리주점",16
category,약국,15
category,"여관,모텔",14
category,"제과,베이커리",12
category,CU,12
category,GS25,11
category,갈비,10
category,치킨,9
category,중국요리,9
category,실내포장마차,9
category,닭요리,9
category,삼겹살,7
category,회,7
category,세븐일레븐,7
category,내과,7
category,호텔,7
category,"초밥,롤",6
category,"해물,생선",6
category,순대,6
category,"떡,한과",5
category,국수,5
category,"곱창,막창",5
category,"돈까스,우동",5
category,커피전문점,5
trend:까치산,2024-08-01,0.62715
trend:까치산,2024-09-01,0.62401
trend:까치산,2024-10-01,0.7791
trend:까치산,2024-11-01,0.61927
trend:까치산,2024-12-01,0.58802
trend:까치산,2025-01-01,0.57915
trend:까치산,2025-02-01,0.56205
trend:까치산,2025-03-01,0.71633
trend:까치산,2025-04-01,0.60046
trend:까치산,2025-05-01,0.74337
trend:까치산,2025-06-01,0.6806
trend:까치산,2025-07-01,0.64425
trend:까치산,2025-08-01,0.71042
trend:까치산,2025-09-01,0.86954
trend:까치산,2025-10-01,0.83569
trend:까치산,2025-11-01,0.57602
trend:까치산,2025-12-01,0.69448
trend:까치산,2026-01-01,0.75125
trend:까치산,2026-02-01,0.61748
trend:까치산,2026-03-01,0.6781
trend:까치산,2026-04-01,0.61094
trend:까치산,2026-05-01,0.70639
trend:까치산,2026-06-01,0.67774
trend:까치산,2026-07-01,0.64703
trend:까치산,2026-08-01,0.66449
demand,flpop_tmzon_00_06,25.43
demand,selng_tmzon_00_06,14.95
demand,flpop_tmzon_06_11,20.32
demand,selng_tmzon_06_11,9.97
demand,flpop_tmzon_11_14,11.78
demand,selng_tmzon_11_14,14.85
demand,flpop_tmzon_14_17,12.0
demand,selng_tmzon_14_17,15.53
demand,flpop_tmzon_17_21,17.12
demand,selng_tmzon_17_21,27.25
demand,flpop_tmzon_21_24,13.34
demand,selng_tmzon_21_24,17.45
demand,agrde_10,12.06
demand,agrde_20,16.38
demand,agrde_30,19.99
demand,agrde_40,17.55
demand,agrde_50,13.79
demand,agrde_60_above,20.23
demand,fml_share,52.33
demand,flpop_wkend,29.1
demand,selng_wkend,30.35
demand,frc_share,11.45
demand,opbiz_rt,2.33
demand,clsbiz_rt,2.86
demand,stor_co,1512.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
