kind,key,value
blog_keyword,강서구,354
blog_keyword,강서로,148
blog_keyword,화곡동,102
blog_keyword,까치산,94
blog_keyword,까치산역맛집,76
blog_keyword,곰달래로,71
blog_keyword,매일,69
blog_keyword,핵밥,54
blog_keyword,디저트,50
blog_keyword,주차,47
blog_keyword,까치산점,46
blog_keyword,까치산역점,35
blog_keyword,오늘은,35
blog_keyword,까치산맛집,35
blog_keyword,까치산역카페,33
blog_keyword,광선집,33
blog_keyword,출구에서,32
blog_keyword,분위기,32
blog_keyword,안녕하세요,32
blog_keyword,서울특별시,31
blog_keyword,매주,30
blog_keyword,시간,30
blog_keyword,정기휴무,29
blog_keyword,강서,28
blog_keyword,티소트,28
blog_keyword,화곡동맛집,27
blog_keyword,포장,27
blog_keyword,도보,26
blog_keyword,소금빵,25
blog_keyword,화곡미담분식,25
blog_keyword,근처,24
blog_keyword,화곡,23
blog_keyword,일요일,23
blog_keyword,까치산역에서,23
blog_keyword,근처에,22
blog_keyword,브라이트,22
blog_keyword,본점,21
blog_keyword,위치한,21
blog_keyword,화곡역,20
blog_keyword,나길,20
blog_keyword,가능,19
blog_keyword,별이네,19
blog_keyword,출구,18
blog_keyword,카페를,18
blog_keyword,휴무,18
blog_keyword,보드게임카페,18
blog_keyword,떡볶이,17
blog_keyword,맥켄지커피,16
blog_keyword,호선,16
blog_keyword,월요일,16
category,미용실,122
category,백반/한정식,104
category,요리 주점,102
category,카페,70
category,일반 유흥 주점,61
category,편의점,58
category,슈퍼마켓,51
category,돼지고기 구이/찜,50
category,김밥/만두/분식,41
category,입시·교과학원,38
category,여관/모텔,36
category,세탁소,36
category,화장품 소매업,36
category,노래방,31
category,기타 의류 소매업,31
category,네일숍,31
category,피부 관리실,29
category,치킨,29
category,약국,27
category,정육점,26
category,핸드폰 소매업,26
category,국/탕/찌개류,24
category,여성 의류 소매업,23
category,빵/도넛,23
category,일식 회/초밥,22
category,치과의원,21
category,건강보조식품 소매업,19
category,생맥주 전문,19
category,헬스장,17
category,중국집,17
trend:까치산,2024-08-01,0.62715
trend:까치산,2024-09-01,0.62401
trend:까치산,2024-10-01,0.7791
trend:까치산,2024-11-01,0.61927
trend:까치산,2024-12-01,0.58802
trend:까치산,2025-01-01,0.57915
trend:까치산,2025-02-01,0.56205
trend:까치산,2025-03-01,0.71633
trend:까치산,2025-04-01,0.60046
trend:까치산,2025-05-01,0.74337
trend:까치산,2025-06-01,0.6806
trend:까치산,2025-07-01,0.64425
trend:까치산,2025-08-01,0.71042
trend:까치산,2025-09-01,0.86954
trend:까치산,2025-10-01,0.83569
trend:까치산,2025-11-01,0.57602
trend:까치산,2025-12-01,0.69448
trend:까치산,2026-01-01,0.75125
trend:까치산,2026-02-01,0.61748
trend:까치산,2026-03-01,0.6781
trend:까치산,2026-04-01,0.61094
trend:까치산,2026-05-01,0.70639
trend:까치산,2026-06-01,0.67774
trend:까치산,2026-07-01,0.64703
trend:까치산,2026-08-01,0.66449
demand,flpop_tmzon_00_06,25.43
demand,selng_tmzon_00_06,14.95
demand,flpop_tmzon_06_11,20.32
demand,selng_tmzon_06_11,9.97
demand,flpop_tmzon_11_14,11.78
demand,selng_tmzon_11_14,14.85
demand,flpop_tmzon_14_17,12.0
demand,selng_tmzon_14_17,15.53
demand,flpop_tmzon_17_21,17.12
demand,selng_tmzon_17_21,27.25
demand,flpop_tmzon_21_24,13.34
demand,selng_tmzon_21_24,17.45
demand,agrde_10,12.06
demand,agrde_20,16.38
demand,agrde_30,19.99
demand,agrde_40,17.55
demand,agrde_50,13.79
demand,agrde_60_above,20.23
demand,fml_share,52.33
demand,flpop_wkend,29.1
demand,selng_wkend,30.35
demand,frc_share,11.45
demand,opbiz_rt,2.33
demand,clsbiz_rt,2.86
demand,stor_co,1512.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
