kind,key,value
blog_keyword,대학로,206
blog_keyword,종로구,140
blog_keyword,혜화역,114
blog_keyword,연극,59
blog_keyword,데이트,53
blog_keyword,혜화맛집,47
blog_keyword,대학로점,36
blog_keyword,대학로맛집,34
blog_keyword,매일,30
blog_keyword,혜화데이트,28
blog_keyword,혜화술집,27
blog_keyword,종로,24
blog_keyword,대학로데이트,24
blog_keyword,분위기,24
blog_keyword,시간,20
blog_keyword,혜화점,20
blog_keyword,출구,19
blog_keyword,공연,19
blog_keyword,혜화역맛집,19
blog_keyword,출구에서,19
blog_keyword,주차,18
blog_keyword,정보,18
blog_keyword,먹고,17
blog_keyword,오랜만에,16
blog_keyword,감성,16
blog_keyword,카페에서,16
blog_keyword,보고,16
blog_keyword,서울특별시,15
blog_keyword,가는,15
blog_keyword,혜화에서,14
blog_keyword,보러,14
blog_keyword,근처,14
blog_keyword,동숭길,14
blog_keyword,서울에서,13
blog_keyword,혜화동,13
blog_keyword,도보,13
blog_keyword,혜화역에서,13
blog_keyword,대명길,13
blog_keyword,카산도,13
blog_keyword,호선,12
blog_keyword,혜화카페,12
blog_keyword,창경궁로,12
blog_keyword,사진,12
blog_keyword,지하,12
blog_keyword,혜화에,11
blog_keyword,나들이,11
blog_keyword,장소,11
blog_keyword,술집,11
blog_keyword,오늘은,10
blog_keyword,서울맛집,10
category,"공연장,연극극장",182
category,카페,97
category,"호프,요리주점",44
category,한식,36
category,"육류,고기",25
category,커피전문점,23
category,일식,20
category,약국,20
category,양식,18
category,중국요리,18
category,디저트카페,16
category,"제과,베이커리",14
category,"초밥,롤",13
category,"돈까스,우동",13
category,테마카페,13
category,술집,12
category,칵테일바,10
category,치과,10
category,게스트하우스,10
category,베트남음식,9
category,"찌개,전골",9
category,분식,9
category,중식,9
category,CU,9
category,이탈리안,8
category,와인바,8
category,"해물,생선",8
category,일본식주점,7
category,삼겹살,7
category,떡볶이,6
