kind,key,value
blog_keyword,서촌맛집,45
blog_keyword,종로구,40
blog_keyword,경복궁역,36
blog_keyword,경복궁,34
blog_keyword,인사동,28
blog_keyword,자하문로,24
blog_keyword,서울한정식맛집,20
blog_keyword,인사동한정식맛집,20
blog_keyword,안국역한식,19
blog_keyword,서울한정식,18
blog_keyword,광화문룸식당,18
blog_keyword,명동한정식,18
blog_keyword,명동밥집,18
blog_keyword,안국역점심,18
blog_keyword,인사동한정식,18
blog_keyword,인사동쌈지길,18
blog_keyword,인사동가볼만한곳,18
blog_keyword,인사동쌈지길맛집,18
blog_keyword,쌈지길맛집,18
blog_keyword,종로,17
blog_keyword,서촌에서,17
blog_keyword,데이트,14
blog_keyword,경복궁역맛집,13
blog_keyword,카페에,12
blog_keyword,서촌데이트,12
blog_keyword,내가,11
blog_keyword,여행,11
blog_keyword,광화문,11
blog_keyword,감성,11
blog_keyword,한옥,11
blog_keyword,브런치,10
blog_keyword,경복궁맛집,10
blog_keyword,근데,10
blog_keyword,서촌점,9
blog_keyword,인사동맛집,9
blog_keyword,시간,9
blog_keyword,서촌카페,9
blog_keyword,점심,8
blog_keyword,싶은,8
blog_keyword,서울맛집,8
blog_keyword,영업,8
blog_keyword,서촌에,8
blog_keyword,위치한,8
blog_keyword,나는,8
blog_keyword,가서,8
blog_keyword,서촌을,8
blog_keyword,종로맛집,8
blog_keyword,일상,7
blog_keyword,서울에서,7
blog_keyword,서촌가볼만한곳,7
category,카페,96
category,한식,55
category,한옥숙소,51
category,양식,36
category,"제과,베이커리",24
category,"호프,요리주점",24
category,게스트하우스,22
category,디저트카페,18
category,와인바,17
category,커피전문점,17
category,"육류,고기",16
category,분식,16
category,이탈리안,15
category,전시관,14
category,일식,13
category,국수,13
category,술집,11
category,숙박,11
category,칵테일바,9
category,"해물,생선",9
category,일본식주점,8
category,갈비,8
category,미술관,8
category,치과,7
category,한정식,6
category,중국요리,6
category,약국,6
category,"돈까스,우동",5
category,치킨,5
category,"떡,한과",4
