kind,key,value
blog_keyword,중구,137
blog_keyword,덕수궁,122
blog_keyword,시청점,110
blog_keyword,시청역맛집,101
blog_keyword,시청,85
blog_keyword,피롤츠커피하우스,85
blog_keyword,세종대로,69
blog_keyword,근처,64
blog_keyword,서울시청역,57
blog_keyword,서울시청,49
blog_keyword,시청역카페,43
blog_keyword,광화문,40
blog_keyword,서울시청역맛집,39
blog_keyword,점심,37
blog_keyword,서울시청맛집,36
blog_keyword,근처에서,36
blog_keyword,진주회관,35
blog_keyword,가배도,34
blog_keyword,도보,33
blog_keyword,커피앤시가렛,31
blog_keyword,덕수궁맛집,29
blog_keyword,분위기,29
blog_keyword,오늘은,29
blog_keyword,커피,29
blog_keyword,카페를,29
blog_keyword,서울시청점,28
blog_keyword,무월,26
blog_keyword,직장인,25
blog_keyword,출구,25
blog_keyword,시청맛집,24
blog_keyword,돌담길,24
blog_keyword,데이트,23
blog_keyword,출구에서,22
blog_keyword,광화문점,22
blog_keyword,시청역에서,21
blog_keyword,매일,21
blog_keyword,층에,21
blog_keyword,디저트,21
blog_keyword,피롤츠,21
blog_keyword,덕수궁카페,21
blog_keyword,위치한,20
blog_keyword,정동길,20
blog_keyword,메뉴,18
blog_keyword,주차,18
blog_keyword,태양,18
blog_keyword,평일,18
blog_keyword,을지로,18
blog_keyword,커피하우스,18
blog_keyword,근처에,17
blog_keyword,콩국수,17
category,기타 의류 소매업,591
category,백반/한정식,438
category,여성 의류 소매업,365
category,카페,348
category,액세서리/잡화 소매업,144
category,슈퍼마켓,133
category,가방 소매업,124
category,신발 소매업,122
category,안경렌즈 소매업,119
category,화장품 소매업,114
category,주방/가정용품 소매업,101
category,편의점,99
category,그 외 기타 상품 전문 소매업,94
category,김밥/만두/분식,86
category,시계/귀금속 소매업,84
category,유아용 의류 소매업,84
category,일식 회/초밥,78
category,남성 의류 소매업,78
category,돼지고기 구이/찜,76
category,중국집,75
category,기념품점,73
category,국/탕/찌개류,70
category,경양식,64
category,미용실,64
category,치과의원,61
category,사진기/기타 광학기기 소매업,56
category,빵/도넛,51
category,꽃집,49
category,요리 주점,46
category,약국,46
trend:시청역,2024-08-01,12.42378
trend:시청역,2024-09-01,10.56426
trend:시청역,2024-10-01,12.1625
trend:시청역,2024-11-01,12.14602
trend:시청역,2024-12-01,13.511
trend:시청역,2025-01-01,12.74999
trend:시청역,2025-02-01,13.17307
trend:시청역,2025-03-01,13.30219
trend:시청역,2025-04-01,12.68856
trend:시청역,2025-05-01,11.4604
trend:시청역,2025-06-01,11.47464
trend:시청역,2025-07-01,12.9759
trend:시청역,2025-08-01,11.87256
trend:시청역,2025-09-01,12.39603
trend:시청역,2025-10-01,10.50722
trend:시청역,2025-11-01,11.62731
trend:시청역,2025-12-01,13.07574
trend:시청역,2026-01-01,12.66743
trend:시청역,2026-02-01,10.08969
trend:시청역,2026-03-01,11.66805
trend:시청역,2026-04-01,10.31695
trend:시청역,2026-05-01,9.50749
trend:시청역,2026-06-01,10.49532
trend:시청역,2026-07-01,10.94052
trend:시청역,2026-08-01,10.38894
demand,flpop_tmzon_00_06,5.37
demand,selng_tmzon_00_06,4.1
demand,flpop_tmzon_06_11,22.15
demand,selng_tmzon_06_11,9.15
demand,flpop_tmzon_11_14,24.31
demand,selng_tmzon_11_14,32.6
demand,flpop_tmzon_14_17,23.83
demand,selng_tmzon_14_17,19.1
demand,flpop_tmzon_17_21,19.35
demand,selng_tmzon_17_21,26.63
demand,flpop_tmzon_21_24,4.99
demand,selng_tmzon_21_24,8.43
demand,agrde_10,4.75
demand,agrde_20,16.93
demand,agrde_30,25.48
demand,agrde_40,24.62
demand,agrde_50,16.79
demand,agrde_60_above,11.43
demand,fml_share,49.64
demand,flpop_wkend,16.23
demand,selng_wkend,15.23
demand,frc_share,13.17
demand,opbiz_rt,1.49
demand,clsbiz_rt,2.43
demand,stor_co,2641.5
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
