kind,key,value
blog_keyword,마포구,137
blog_keyword,홍대,86
blog_keyword,동교로,54
blog_keyword,홍대입구역,42
blog_keyword,연남,41
blog_keyword,연남맛집,33
blog_keyword,삐딱,31
blog_keyword,연남점,30
blog_keyword,연남동맛집,28
blog_keyword,매일,28
blog_keyword,분위기,27
blog_keyword,층에,22
blog_keyword,디저트,21
blog_keyword,주차,20
blog_keyword,연남동카페,20
blog_keyword,성미산로,19
blog_keyword,힙한,19
blog_keyword,정보,18
blog_keyword,데이트,18
blog_keyword,매장,15
blog_keyword,출구에서,14
blog_keyword,연남동데이트,14
blog_keyword,연남동에서,13
blog_keyword,홍대데이트,13
blog_keyword,연남동의,12
blog_keyword,홍대맛집,12
blog_keyword,브런치,12
blog_keyword,연남점에서,12
blog_keyword,다수제과,12
blog_keyword,있어서,11
blog_keyword,메뉴,11
blog_keyword,위치한,11
blog_keyword,오늘은,11
blog_keyword,연남동에,11
blog_keyword,디저트카페,11
blog_keyword,연남토마,10
blog_keyword,서울특별시,10
blog_keyword,중화복춘,10
blog_keyword,연희로,10
blog_keyword,자리한,10
blog_keyword,술집,9
blog_keyword,위치해,9
blog_keyword,월드컵북로,9
blog_keyword,라멘,9
blog_keyword,홍대카페,9
blog_keyword,보면,9
blog_keyword,있죠,9
blog_keyword,골목을,9
blog_keyword,연남본점,8
blog_keyword,가득한,8
category,카페,116
category,양식,58
category,게스트하우스,51
category,디저트카페,50
category,일식,46
category,"제과,베이커리",45
category,한식,39
category,"호프,요리주점",35
category,칵테일바,33
category,일본식주점,27
category,술집,25
category,"육류,고기",24
category,커피전문점,18
category,이탈리안,16
category,중국요리,16
category,일본식라면,15
category,와인바,13
category,분식,10
category,피자,10
category,숙박,10
category,중식,9
category,일식집,9
category,GS25,8
category,전시관,8
category,치과,7
category,회,6
category,CU,6
category,오뎅바,5
category,"돈까스,우동",5
category,삼겹살,5
