kind,key,value
blog_keyword,동대문구,126
blog_keyword,회기역,77
blog_keyword,회기,74
blog_keyword,경희대맛집,67
blog_keyword,회기로,40
blog_keyword,외대,36
blog_keyword,가성비,35
blog_keyword,매일,34
blog_keyword,근처,31
blog_keyword,주차,31
blog_keyword,회기맛집,29
blog_keyword,도보,27
blog_keyword,회기점,27
blog_keyword,경희대로,25
blog_keyword,회기역맛집,24
blog_keyword,이문동,22
blog_keyword,경희대점,19
blog_keyword,한국외대,18
blog_keyword,회기동,17
blog_keyword,정보,17
blog_keyword,시간,17
blog_keyword,가길,16
blog_keyword,서울특별시,16
blog_keyword,회기술집,16
blog_keyword,외대맛집,15
blog_keyword,외대앞역,15
blog_keyword,시립대,14
blog_keyword,삼겹살,14
blog_keyword,매장,14
blog_keyword,고려대,14
blog_keyword,경희대학교,14
blog_keyword,서울시립대,13
blog_keyword,한양대,13
blog_keyword,회기데이트,13
blog_keyword,이문로,13
blog_keyword,주변,12
blog_keyword,중앙대,12
blog_keyword,스터디카페,12
blog_keyword,분위기,12
blog_keyword,로스쿨,12
blog_keyword,근처에,11
blog_keyword,아파트,11
blog_keyword,고대,11
blog_keyword,한성대,11
blog_keyword,가능,11
blog_keyword,나은이네,11
blog_keyword,증명사진,11
blog_keyword,북카페,11
blog_keyword,감성,10
blog_keyword,한예종,10
category,카페,44
category,한식,29
category,중국요리,26
category,분식,18
category,"제과,베이커리",18
category,"호프,요리주점",18
category,"육류,고기",18
category,이마트24,14
category,약국,14
category,양식,11
category,술집,10
category,GS25,10
category,"돈까스,우동",9
category,닭요리,9
category,커피전문점,9
category,중식,8
category,디저트카페,8
category,세븐일레븐,8
category,일식,7
category,칵테일바,7
category,치킨,7
category,"해물,생선",7
category,CU,7
category,치과,7
category,"찌개,전골",6
category,일본식주점,6
category,양꼬치,6
category,일식집,5
category,"초밥,롤",5
category,베트남음식,5
demand,flpop_tmzon_00_06,24.99
demand,selng_tmzon_00_06,4.45
demand,flpop_tmzon_06_11,20.8
demand,selng_tmzon_06_11,7.2
demand,flpop_tmzon_11_14,12.91
demand,selng_tmzon_11_14,20.89
demand,flpop_tmzon_14_17,12.14
demand,selng_tmzon_14_17,15.21
demand,flpop_tmzon_17_21,16.25
demand,selng_tmzon_17_21,34.58
demand,flpop_tmzon_21_24,12.91
demand,selng_tmzon_21_24,17.68
demand,agrde_10,12.37
demand,agrde_20,48.27
demand,agrde_30,10.7
demand,agrde_40,8.43
demand,agrde_50,8.13
demand,agrde_60_above,12.11
demand,fml_share,55.4
demand,flpop_wkend,26.75
demand,selng_wkend,24.5
demand,frc_share,18.24
demand,opbiz_rt,2.92
demand,clsbiz_rt,3.05
demand,stor_co,662.0
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
trend:경희대,2024-07-01,6.3788
trend:경희대,2024-08-01,7.53317
trend:경희대,2024-09-01,10.77137
trend:경희대,2024-10-01,5.39115
trend:경희대,2024-11-01,11.12677
trend:경희대,2024-12-01,16.72565
trend:경희대,2025-01-01,7.55654
trend:경희대,2025-02-01,10.04152
trend:경희대,2025-03-01,5.85506
trend:경희대,2025-04-01,4.70105
trend:경희대,2025-05-01,5.18789
trend:경희대,2025-06-01,4.56781
trend:경희대,2025-07-01,5.22317
trend:경희대,2025-08-01,6.57015
trend:경희대,2025-09-01,9.718
trend:경희대,2025-10-01,4.48749
trend:경희대,2025-11-01,12.46927
trend:경희대,2025-12-01,13.89236
trend:경희대,2026-01-01,6.6005
trend:경희대,2026-02-01,6.4986
trend:경희대,2026-03-01,4.54838
trend:경희대,2026-04-01,3.85666
trend:경희대,2026-05-01,3.99957
trend:경희대,2026-06-01,3.57434
trend:경희대,2026-07-01,3.80079
