kind,key,value
blog_keyword,고속터미널역,109
blog_keyword,서초구,103
blog_keyword,신반포로,80
blog_keyword,서울고속버스터미널,47
blog_keyword,지하,43
blog_keyword,고터,41
blog_keyword,후라토식당,39
blog_keyword,고속버스터미널,38
blog_keyword,매일,38
blog_keyword,고속터미널맛집,35
blog_keyword,근처,35
blog_keyword,서울고속터미널,32
blog_keyword,반포쇼핑타운,31
blog_keyword,오늘은,29
blog_keyword,반포점,27
blog_keyword,반포직영점,26
blog_keyword,얌샘김밥,25
blog_keyword,반포맛집,24
blog_keyword,위치한,23
blog_keyword,시그니처랩,23
blog_keyword,브런치,23
blog_keyword,고터맛집,22
blog_keyword,터미널,22
blog_keyword,반포양꼬치,21
blog_keyword,파미에스테이션,19
blog_keyword,센트럴시티,19
blog_keyword,규카츠,18
blog_keyword,플러스,18
blog_keyword,반포동,17
blog_keyword,반포역,16
blog_keyword,층에,16
blog_keyword,안녕하세요,16
blog_keyword,호선,16
blog_keyword,서울고속터미널맛집,16
blog_keyword,치킨,16
blog_keyword,반포갈비,16
blog_keyword,고투몰,16
blog_keyword,지하에,14
blog_keyword,고속버스터미널역,14
blog_keyword,분위기,14
blog_keyword,경부선,13
blog_keyword,신세계,13
blog_keyword,식당,13
blog_keyword,고속,13
blog_keyword,소고기,12
blog_keyword,근처에,12
blog_keyword,강남점,12
blog_keyword,출구에서,12
blog_keyword,주차,12
blog_keyword,담은,12
category,여성 의류 소매업,419
category,입시·교과학원,335
category,기타 의류 소매업,183
category,침구류/커튼 소매업,111
category,꽃집,108
category,백반/한정식,87
category,카페,82
category,신발 소매업,69
category,남성 의류 소매업,66
category,미용실,62
category,시계/귀금속 소매업,61
category,김밥/만두/분식,53
category,기념품점,52
category,빵/도넛,43
category,약국,42
category,음악학원,41
category,편의점,39
category,가방 소매업,39
category,요가/필라테스 학원,37
category,외국어학원,36
category,유아용 의류 소매업,35
category,일식 회/초밥,33
category,액세서리/잡화 소매업,32
category,슈퍼마켓,30
category,화장품 소매업,30
category,치과의원,30
category,한의원,30
category,미술학원,30
category,그 외 기타 상품 전문 소매업,29
category,헬스장,29
trend:고속터미널·반포,2024-08-01,3.86786
trend:고속터미널·반포,2024-09-01,3.78404
trend:고속터미널·반포,2024-10-01,3.5541
trend:고속터미널·반포,2024-11-01,3.35147
trend:고속터미널·반포,2024-12-01,3.46733
trend:고속터미널·반포,2025-01-01,3.27294
trend:고속터미널·반포,2025-02-01,3.15403
trend:고속터미널·반포,2025-03-01,3.32684
trend:고속터미널·반포,2025-04-01,3.18966
trend:고속터미널·반포,2025-05-01,3.47897
trend:고속터미널·반포,2025-06-01,3.1089
trend:고속터미널·반포,2025-07-01,3.11633
trend:고속터미널·반포,2025-08-01,3.12913
trend:고속터미널·반포,2025-09-01,2.7698
trend:고속터미널·반포,2025-10-01,3.14865
trend:고속터미널·반포,2025-11-01,3.21106
trend:고속터미널·반포,2025-12-01,3.16325
trend:고속터미널·반포,2026-01-01,2.29066
trend:고속터미널·반포,2026-02-01,2.30311
trend:고속터미널·반포,2026-03-01,2.29209
trend:고속터미널·반포,2026-04-01,2.44288
trend:고속터미널·반포,2026-05-01,2.50073
trend:고속터미널·반포,2026-06-01,2.16423
trend:고속터미널·반포,2026-07-01,2.2886
trend:고속터미널·반포,2026-08-01,2.21383
demand,flpop_tmzon_00_06,15.07
demand,selng_tmzon_00_06,0.79
demand,flpop_tmzon_06_11,17.45
demand,selng_tmzon_06_11,12.91
demand,flpop_tmzon_11_14,15.36
demand,selng_tmzon_11_14,22.21
demand,flpop_tmzon_14_17,18.51
demand,selng_tmzon_14_17,28.4
demand,flpop_tmzon_17_21,23.28
demand,selng_tmzon_17_21,28.79
demand,flpop_tmzon_21_24,10.33
demand,selng_tmzon_21_24,6.91
demand,agrde_10,29.29
demand,agrde_20,9.78
demand,agrde_30,12.06
demand,agrde_40,20.8
demand,agrde_50,13.07
demand,agrde_60_above,15.01
demand,fml_share,54.96
demand,flpop_wkend,27.49
demand,selng_wkend,19.59
demand,frc_share,12.16
demand,opbiz_rt,1.7
demand,clsbiz_rt,1.79
demand,stor_co,2744.5
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
