kind,key,value
blog_keyword,서대문구,244
blog_keyword,연희로,141
blog_keyword,연희,87
blog_keyword,주차,58
blog_keyword,연희점,54
blog_keyword,연희맛로,43
blog_keyword,매일,43
blog_keyword,연희동에,42
blog_keyword,연희동카페,42
blog_keyword,연희동맛집,38
blog_keyword,브런치,38
blog_keyword,디저트,34
blog_keyword,휴무,32
blog_keyword,매주,32
blog_keyword,오늘은,30
blog_keyword,분위기,27
blog_keyword,층에,26
blog_keyword,바늘이야기,26
blog_keyword,연희동에서,26
blog_keyword,안녕하세요,24
blog_keyword,가능,24
blog_keyword,가길,24
blog_keyword,위치한,23
blog_keyword,정기휴무,20
blog_keyword,데이트,20
blog_keyword,서울특별시,19
blog_keyword,어구생,19
blog_keyword,연희동의,19
blog_keyword,묘몽,18
blog_keyword,스토키넷,18
blog_keyword,유명한,17
blog_keyword,있어요,17
blog_keyword,메뉴,16
blog_keyword,보면,16
blog_keyword,목란,16
blog_keyword,공간,16
blog_keyword,조용한,16
blog_keyword,카페를,16
blog_keyword,고미정,15
blog_keyword,월요일,15
blog_keyword,이용,15
blog_keyword,먹고,15
blog_keyword,그로어스,15
blog_keyword,커피,15
blog_keyword,작업하기,15
blog_keyword,시간,14
blog_keyword,코스,14
blog_keyword,정보,14
blog_keyword,애니브,14
blog_keyword,연남동,14
category,카페,111
category,백반/한정식,86
category,입시·교과학원,52
category,미용실,50
category,빵/도넛,44
category,경양식,40
category,요리 주점,36
category,기타 의류 소매업,32
category,요가/필라테스 학원,31
category,김밥/만두/분식,28
category,펜션,27
category,여성 의류 소매업,24
category,꽃집,24
category,편의점,23
category,중국집,19
category,일식 회/초밥,19
category,슈퍼마켓,18
category,예술품 소매업,17
category,기타 기술/직업 훈련학원,17
category,기숙사/고시원,16
category,피자,14
category,헬스장,14
category,화장품 소매업,13
category,네일숍,13
category,치과의원,13
category,약국,13
category,돼지고기 구이/찜,12
category,음악학원,11
category,주방/가정용품 소매업,10
category,치킨,10
trend:연희동,2024-08-01,6.07373
trend:연희동,2024-09-01,1.94628
trend:연희동,2024-10-01,2.02087
trend:연희동,2024-11-01,1.86704
trend:연희동,2024-12-01,2.11874
trend:연희동,2025-01-01,1.9787
trend:연희동,2025-02-01,1.74257
trend:연희동,2025-03-01,1.7997
trend:연희동,2025-04-01,2.12814
trend:연희동,2025-05-01,2.08848
trend:연희동,2025-06-01,1.77159
trend:연희동,2025-07-01,2.07513
trend:연희동,2025-08-01,1.8425
trend:연희동,2025-09-01,1.68643
trend:연희동,2025-10-01,1.77499
trend:연희동,2025-11-01,1.64059
trend:연희동,2025-12-01,1.61829
trend:연희동,2026-01-01,1.66181
trend:연희동,2026-02-01,1.59474
trend:연희동,2026-03-01,1.8066
trend:연희동,2026-04-01,1.78126
trend:연희동,2026-05-01,2.0061
trend:연희동,2026-06-01,1.80839
trend:연희동,2026-07-01,1.53806
trend:연희동,2026-08-01,1.52078
demand,flpop_tmzon_00_06,24.69
demand,selng_tmzon_00_06,4.25
demand,flpop_tmzon_06_11,21.15
demand,selng_tmzon_06_11,12.0
demand,flpop_tmzon_11_14,13.01
demand,selng_tmzon_11_14,26.82
demand,flpop_tmzon_14_17,12.58
demand,selng_tmzon_14_17,21.25
demand,flpop_tmzon_17_21,16.49
demand,selng_tmzon_17_21,26.22
demand,flpop_tmzon_21_24,12.09
demand,selng_tmzon_21_24,9.46
demand,agrde_10,9.45
demand,agrde_20,38.79
demand,agrde_30,16.2
demand,agrde_40,12.07
demand,agrde_50,10.32
demand,agrde_60_above,13.17
demand,fml_share,53.95
demand,flpop_wkend,28.3
demand,selng_wkend,24.9
demand,frc_share,12.43
demand,opbiz_rt,2.15
demand,clsbiz_rt,2.35
demand,stor_co,779.75
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
