kind,key,value
blog_keyword,선릉역,456
blog_keyword,강남구,302
blog_keyword,테헤란로,87
blog_keyword,강남,86
blog_keyword,선릉로,83
blog_keyword,선릉점,77
blog_keyword,위치한,53
blog_keyword,선릉역맛집,49
blog_keyword,선릉본점,48
blog_keyword,선릉맛집,40
blog_keyword,역삼로,38
blog_keyword,주차,37
blog_keyword,선릉역카페,37
blog_keyword,매일,35
blog_keyword,시간,34
blog_keyword,지하,33
blog_keyword,베이커리,32
blog_keyword,층에,32
blog_keyword,커피,30
blog_keyword,점심,29
blog_keyword,디저트,29
blog_keyword,출구에서,28
blog_keyword,선릉카페,28
blog_keyword,도보,27
blog_keyword,분위기,27
blog_keyword,역삼,26
blog_keyword,오늘은,26
blog_keyword,진대감,25
blog_keyword,주말,25
blog_keyword,평일,24
blog_keyword,선릉역점,23
blog_keyword,바다의,23
blog_keyword,도심,23
blog_keyword,삼성로,23
blog_keyword,소고기,23
blog_keyword,프렌코커피,23
blog_keyword,근처,22
blog_keyword,이곳은,22
blog_keyword,대치동,22
blog_keyword,에삐,22
blog_keyword,안녕하세요,21
blog_keyword,역삼동,20
blog_keyword,대형카페,20
blog_keyword,텟어텟,20
blog_keyword,서울특별시,19
blog_keyword,빌딩,19
blog_keyword,안주가든은,19
blog_keyword,매장,19
blog_keyword,더치즈샵,19
blog_keyword,근처에서,18
category,백반/한정식,426
category,입시·교과학원,422
category,카페,268
category,미용실,147
category,기타 교육지원 서비스업,117
category,화장품 소매업,115
category,교육컨설팅업,108
category,편의점,108
category,피부 관리실,107
category,미술학원,95
category,일식 회/초밥,91
category,경양식,86
category,돼지고기 구이/찜,84
category,기타 의류 소매업,76
category,김밥/만두/분식,75
category,요가/필라테스 학원,73
category,요리 주점,70
category,헬스장,65
category,건강보조식품 소매업,63
category,꽃집,59
category,네일숍,58
category,중국집,54
category,그 외 기타 교육기관,50
category,치과의원,49
category,슈퍼마켓,47
category,피자,42
category,그 외 기타 상품 전문 소매업,41
category,독서실/스터디 카페,41
category,한의원,41
category,빵/도넛,39
trend:선릉,2024-08-01,2.19602
trend:선릉,2024-09-01,1.21911
trend:선릉,2024-10-01,1.47619
trend:선릉,2024-11-01,1.38629
trend:선릉,2024-12-01,0.98961
trend:선릉,2025-01-01,1.10333
trend:선릉,2025-02-01,1.06868
trend:선릉,2025-03-01,1.14739
trend:선릉,2025-04-01,1.16906
trend:선릉,2025-05-01,1.21087
trend:선릉,2025-06-01,1.16548
trend:선릉,2025-07-01,1.0625
trend:선릉,2025-08-01,0.99024
trend:선릉,2025-09-01,1.03
trend:선릉,2025-10-01,1.23138
trend:선릉,2025-11-01,1.07128
trend:선릉,2025-12-01,0.81814
trend:선릉,2026-01-01,0.94807
trend:선릉,2026-02-01,1.06205
trend:선릉,2026-03-01,1.26558
trend:선릉,2026-04-01,1.11829
trend:선릉,2026-05-01,1.08157
trend:선릉,2026-06-01,0.82325
trend:선릉,2026-07-01,0.80417
trend:선릉,2026-08-01,0.91601
demand,flpop_tmzon_00_06,15.79
demand,selng_tmzon_00_06,4.25
demand,flpop_tmzon_06_11,21.16
demand,selng_tmzon_06_11,8.74
demand,flpop_tmzon_11_14,17.73
demand,selng_tmzon_11_14,29.84
demand,flpop_tmzon_14_17,17.32
demand,selng_tmzon_14_17,16.2
demand,flpop_tmzon_17_21,18.42
demand,selng_tmzon_17_21,29.23
demand,flpop_tmzon_21_24,9.57
demand,selng_tmzon_21_24,11.74
demand,agrde_10,10.78
demand,agrde_20,16.58
demand,agrde_30,23.02
demand,agrde_40,21.77
demand,agrde_50,15.13
demand,agrde_60_above,12.71
demand,fml_share,50.16
demand,flpop_wkend,20.99
demand,selng_wkend,16.97
demand,frc_share,6.81
demand,opbiz_rt,1.92
demand,clsbiz_rt,2.51
demand,stor_co,3104.75
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
