kind,key,value
blog_keyword,동작구,84
blog_keyword,노량진수산시장,57
blog_keyword,노량진역,37
blog_keyword,노량진맛집,36
blog_keyword,노량진점,27
blog_keyword,만양로,25
blog_keyword,가성비,23
blog_keyword,매일,21
blog_keyword,노량진에서,20
blog_keyword,먹고,19
blog_keyword,수산시장,18
blog_keyword,주차,16
blog_keyword,노량진로,15
blog_keyword,노량진역맛집,14
blog_keyword,노량진횟집,14
blog_keyword,호선,13
blog_keyword,여의도,13
blog_keyword,시간,13
blog_keyword,노들로,13
blog_keyword,연락처,13
blog_keyword,오늘은,13
blog_keyword,스시준,12
blog_keyword,없는,11
blog_keyword,다양한,11
blog_keyword,카페가,10
blog_keyword,이렇게,10
blog_keyword,카페에서,9
blog_keyword,시장,9
blog_keyword,노량진수산시장맛집,9
blog_keyword,중랑구,9
blog_keyword,횟집,9
blog_keyword,노들솥뚜껑,9
blog_keyword,가배도,9
blog_keyword,윌로우하우스,9
blog_keyword,메뉴,8
blog_keyword,서울에서,8
blog_keyword,가능,8
blog_keyword,노량진초밥,8
blog_keyword,교대역,8
blog_keyword,어다미,8
blog_keyword,제가,8
blog_keyword,고기,8
blog_keyword,대방동,8
blog_keyword,서울로,7
blog_keyword,그래서,7
blog_keyword,하고,7
blog_keyword,내가,7
blog_keyword,가는,7
blog_keyword,이자카야,7
blog_keyword,친구,7
category,회,56
category,"호프,요리주점",25
category,한식,25
category,카페,18
category,분식,17
category,"육류,고기",14
category,"게,대게",14
category,"해물,생선",13
category,약국,13
category,CU,11
category,중국요리,10
category,커피전문점,10
category,술집,9
category,GS25,9
category,실내포장마차,7
category,"여관,모텔",7
category,갈비,5
category,"곱창,막창",5
category,베트남음식,5
category,"돈까스,우동",5
category,치과,5
category,"제과,베이커리",4
category,일식,4
category,양꼬치,4
category,국밥,4
category,이탈리안,4
category,삼겹살,3
category,"찌개,전골",3
category,한식뷔페,3
category,닭요리,3
