kind,key,value
blog_keyword,성동구,222
blog_keyword,왕십리로,127
blog_keyword,성수,74
blog_keyword,성수동,63
blog_keyword,뚝섬역,49
blog_keyword,왕십리맛집,42
blog_keyword,서울숲,41
blog_keyword,푸드갤러리빈,40
blog_keyword,왕십리역,37
blog_keyword,동네한바퀴,36
blog_keyword,마조로,32
blog_keyword,서울특별시,31
blog_keyword,오마카세,29
blog_keyword,도보,28
blog_keyword,두부,27
blog_keyword,정보,26
blog_keyword,왕십리점,26
blog_keyword,매일,25
blog_keyword,시간,25
blog_keyword,디저트,23
blog_keyword,한양대,22
blog_keyword,메뉴,20
blog_keyword,왕십리역맛집,20
blog_keyword,출구에서,19
blog_keyword,주차,19
blog_keyword,가능,19
blog_keyword,예약,18
blog_keyword,오늘은,17
blog_keyword,두부오마카세,17
blog_keyword,행당로,17
blog_keyword,성수점,16
blog_keyword,행당동,16
blog_keyword,매장,15
blog_keyword,한양대맛집,15
blog_keyword,왕십리데이트,15
blog_keyword,출구,14
blog_keyword,가성비,14
blog_keyword,가길,14
blog_keyword,스시도쿠,14
blog_keyword,성수맛집,13
blog_keyword,빙수,13
blog_keyword,크로하우스,13
blog_keyword,지하,12
blog_keyword,멜로우즈,12
blog_keyword,먹고,12
blog_keyword,왕십리카페,12
blog_keyword,서울숲역,11
blog_keyword,분위기,11
blog_keyword,술집,11
blog_keyword,왕십리에서,11
category,한식,48
category,"육류,고기",48
category,카페,46
category,"호프,요리주점",42
category,치과,24
category,"곱창,막창",23
category,분식,23
category,실내포장마차,21
category,약국,19
category,닭요리,18
category,"해물,생선",17
category,디저트카페,17
category,"여관,모텔",17
category,"제과,베이커리",16
category,치킨,14
category,일본식주점,13
category,양식,13
category,삼겹살,13
category,CU,13
category,"돈까스,우동",10
category,중국요리,10
category,갈비,10
category,세븐일레븐,10
category,피부과,10
category,"초밥,롤",9
category,일식,9
category,"족발,보쌈",9
category,피자,9
category,중식,9
category,커피전문점,9
