kind,key,value
blog_keyword,강동구,312
blog_keyword,천호,164
blog_keyword,천호대로,80
blog_keyword,천호점,74
blog_keyword,올림픽로,72
blog_keyword,천호역맛집,65
blog_keyword,매일,63
blog_keyword,천호동,60
blog_keyword,천호맛집,60
blog_keyword,강동,56
blog_keyword,근처,51
blog_keyword,출구에서,46
blog_keyword,주차,44
blog_keyword,도보,39
blog_keyword,시간,38
blog_keyword,천호옛,34
blog_keyword,오늘은,33
blog_keyword,호선,31
blog_keyword,안녕하세요,29
blog_keyword,베이커리,29
blog_keyword,정보,28
blog_keyword,보승회관,28
blog_keyword,천호카페,28
blog_keyword,천호역카페,28
blog_keyword,천호동맛집,27
blog_keyword,디저트,27
blog_keyword,성내동,25
blog_keyword,강동구맛집,25
blog_keyword,가능,24
blog_keyword,구천면로,23
blog_keyword,월요일,23
blog_keyword,키즈카페,22
blog_keyword,천호역점,21
blog_keyword,매장,21
blog_keyword,위치한,21
blog_keyword,천호역에서,21
blog_keyword,분위기,21
blog_keyword,브랜뉴하이몬드,21
blog_keyword,비트카페라운지,21
blog_keyword,대형,21
blog_keyword,로라바운스,21
blog_keyword,서울특별시,20
blog_keyword,브런치,20
blog_keyword,매주,20
blog_keyword,언톨드,20
blog_keyword,가성비,19
blog_keyword,김숙성,19
blog_keyword,돈사돈,19
blog_keyword,주말,19
blog_keyword,이용,18
category,한식,54
category,카페,40
category,약국,37
category,치과,35
category,"호프,요리주점",33
category,"제과,베이커리",28
category,"해물,생선",22
category,피부과,22
category,"육류,고기",21
category,"여관,모텔",21
category,분식,19
category,일본식주점,18
category,술집,18
category,일식,16
category,GS25,16
category,"곱창,막창",13
category,중국요리,12
category,내과,12
category,"초밥,롤",11
category,삼겹살,11
category,양식,11
category,정신건강의학과,11
category,치킨,9
category,닭요리,9
category,커피전문점,9
category,산부인과,9
category,갈비,8
category,국수,8
category,"족발,보쌈",8
category,디저트카페,8
trend:천호,2024-08-01,0.74051
trend:천호,2024-09-01,0.6558
trend:천호,2024-10-01,0.69099
trend:천호,2024-11-01,0.63512
trend:천호,2024-12-01,0.67478
trend:천호,2025-01-01,0.65965
trend:천호,2025-02-01,0.59697
trend:천호,2025-03-01,0.64747
trend:천호,2025-04-01,0.61407
trend:천호,2025-05-01,0.61882
trend:천호,2025-06-01,0.61954
trend:천호,2025-07-01,0.64765
trend:천호,2025-08-01,0.64882
trend:천호,2025-09-01,0.55641
trend:천호,2025-10-01,0.5445
trend:천호,2025-11-01,0.84232
trend:천호,2025-12-01,0.66225
trend:천호,2026-01-01,0.59267
trend:천호,2026-02-01,0.55919
trend:천호,2026-03-01,0.73549
trend:천호,2026-04-01,0.59366
trend:천호,2026-05-01,0.54146
trend:천호,2026-06-01,0.577
trend:천호,2026-07-01,0.63753
trend:천호,2026-08-01,0.75331
demand,flpop_tmzon_00_06,22.91
demand,selng_tmzon_00_06,2.18
demand,flpop_tmzon_06_11,19.51
demand,selng_tmzon_06_11,7.13
demand,flpop_tmzon_11_14,13.03
demand,selng_tmzon_11_14,25.32
demand,flpop_tmzon_14_17,13.67
demand,selng_tmzon_14_17,24.86
demand,flpop_tmzon_17_21,18.42
demand,selng_tmzon_17_21,32.62
demand,flpop_tmzon_21_24,12.46
demand,selng_tmzon_21_24,7.9
demand,agrde_10,9.31
demand,agrde_20,15.84
demand,agrde_30,20.07
demand,agrde_40,16.0
demand,agrde_50,15.69
demand,agrde_60_above,23.09
demand,fml_share,53.42
demand,flpop_wkend,30.17
demand,selng_wkend,28.99
demand,frc_share,7.76
demand,opbiz_rt,1.77
demand,clsbiz_rt,2.19
demand,stor_co,2434.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
