kind,key,value
blog_keyword,관악구,255
blog_keyword,신림역맛집,176
blog_keyword,신림,175
blog_keyword,신림맛집,160
blog_keyword,신림점,98
blog_keyword,서서갈비,95
blog_keyword,신림로,64
blog_keyword,관악구맛집,62
blog_keyword,신림동,58
blog_keyword,조원중앙로,47
blog_keyword,갈비맛집,41
blog_keyword,가산맛집,40
blog_keyword,구로디지털단지역맛집,40
blog_keyword,구디맛집,40
blog_keyword,신림역갈비,40
blog_keyword,양갈비맛집,40
blog_keyword,구디양갈비,40
blog_keyword,구디역갈비,39
blog_keyword,구디역양갈비,39
blog_keyword,봉천로,39
blog_keyword,신림회식,38
blog_keyword,당곡역맛집,38
blog_keyword,남부순환로,35
blog_keyword,당곡맛집,34
blog_keyword,신림역양갈비,33
blog_keyword,신림장어,32
blog_keyword,신림역장어,32
blog_keyword,당곡장어,31
blog_keyword,관악구장어,31
blog_keyword,당곡역장어,30
blog_keyword,신림역점,28
blog_keyword,출구에서,28
blog_keyword,당곡역회식,28
blog_keyword,당곡역점심,28
blog_keyword,장수촌풍천장어직판장,25
blog_keyword,신림데이트,23
blog_keyword,매일,23
blog_keyword,살롱드키코,23
blog_keyword,정보,22
blog_keyword,신림새우,22
blog_keyword,디저트,21
blog_keyword,도보,21
blog_keyword,분위기,21
blog_keyword,층에,20
blog_keyword,신림카페,20
blog_keyword,가성비,18
blog_keyword,신림역카페,18
blog_keyword,위치한,17
blog_keyword,신림동맛집,17
blog_keyword,매장,17
category,"호프,요리주점",62
category,한식,58
category,"여관,모텔",50
category,순대,45
category,카페,41
category,"육류,고기",35
category,치과,28
category,약국,28
category,실내포장마차,27
category,술집,26
category,분식,23
category,GS25,22
category,"제과,베이커리",19
category,삼겹살,17
category,"곱창,막창",17
category,닭요리,16
category,회,15
category,CU,15
category,"초밥,롤",14
category,중국요리,14
category,갈비,12
category,치킨,12
category,일본식주점,11
category,칵테일바,11
category,"돈까스,우동",10
category,양식,10
category,세븐일레븐,10
category,떡볶이,9
category,커피전문점,9
category,디저트카페,8
