kind,key,value
blog_keyword,은평구,325
blog_keyword,연서로,166
blog_keyword,연신내역,97
blog_keyword,닷닷닷,93
blog_keyword,연신내맛집,78
blog_keyword,연신내점,55
blog_keyword,매일,53
blog_keyword,통일로,51
blog_keyword,연신내카페,50
blog_keyword,주차,47
blog_keyword,연신내에서,33
blog_keyword,데이트,33
blog_keyword,오늘은,33
blog_keyword,시간,33
blog_keyword,층에,28
blog_keyword,분위기,28
blog_keyword,카페를,27
blog_keyword,늦게까지,27
blog_keyword,안녕하세요,26
blog_keyword,쿠키날,25
blog_keyword,연신내역맛집,25
blog_keyword,서울늦게까지하는카페,22
blog_keyword,은평,21
blog_keyword,뭉텅,21
blog_keyword,연신내데이트,20
blog_keyword,매장,20
blog_keyword,출구에서,20
blog_keyword,연신내술집,20
blog_keyword,은평구카페,19
blog_keyword,아우성황소곱창,19
blog_keyword,위치한,19
blog_keyword,서울특별시,19
blog_keyword,매주,19
blog_keyword,플럽커피,19
blog_keyword,서울새벽카페,18
blog_keyword,연신내본점,18
blog_keyword,정기휴무,18
blog_keyword,감성,18
blog_keyword,디저트,18
blog_keyword,도보,17
blog_keyword,갈현동,17
blog_keyword,연신내에,17
blog_keyword,정보,16
blog_keyword,오랜,16
blog_keyword,가능,16
blog_keyword,록갈비,15
blog_keyword,미식의,15
blog_keyword,고소한,15
blog_keyword,근처,15
blog_keyword,힙한,15
category,미용실,186
category,백반/한정식,170
category,요리 주점,126
category,카페,110
category,입시·교과학원,89
category,돼지고기 구이/찜,68
category,피부 관리실,57
category,기타 의류 소매업,55
category,편의점,55
category,슈퍼마켓,53
category,노래방,53
category,김밥/만두/분식,51
category,네일숍,45
category,빵/도넛,43
category,일식 회/초밥,41
category,치킨,39
category,여성 의류 소매업,39
category,약국,36
category,치과의원,35
category,한의원,34
category,화장품 소매업,31
category,국/탕/찌개류,31
category,핸드폰 소매업,29
category,경양식,27
category,중국집,27
category,피자,26
category,펜션,26
category,요가/필라테스 학원,25
category,국수/칼국수,23
category,일반 유흥 주점,23
trend:연신내,2024-08-01,1.64184
trend:연신내,2024-09-01,1.697
trend:연신내,2024-10-01,2.16091
trend:연신내,2024-11-01,1.40697
trend:연신내,2024-12-01,1.64981
trend:연신내,2025-01-01,1.85916
trend:연신내,2025-02-01,1.62295
trend:연신내,2025-03-01,1.56098
trend:연신내,2025-04-01,1.33184
trend:연신내,2025-05-01,1.39999
trend:연신내,2025-06-01,1.3536
trend:연신내,2025-07-01,1.33346
trend:연신내,2025-08-01,3.41298
trend:연신내,2025-09-01,1.26693
trend:연신내,2025-10-01,1.22798
trend:연신내,2025-11-01,1.18446
trend:연신내,2025-12-01,1.33838
trend:연신내,2026-01-01,1.29701
trend:연신내,2026-02-01,1.10172
trend:연신내,2026-03-01,1.26916
trend:연신내,2026-04-01,1.14882
trend:연신내,2026-05-01,1.14067
trend:연신내,2026-06-01,1.04594
trend:연신내,2026-07-01,1.21741
trend:연신내,2026-08-01,1.11076
demand,flpop_tmzon_00_06,21.9
demand,selng_tmzon_00_06,4.21
demand,flpop_tmzon_06_11,19.69
demand,selng_tmzon_06_11,9.41
demand,flpop_tmzon_11_14,12.52
demand,selng_tmzon_11_14,22.54
demand,flpop_tmzon_14_17,13.21
demand,selng_tmzon_14_17,22.2
demand,flpop_tmzon_17_21,19.58
demand,selng_tmzon_17_21,31.02
demand,flpop_tmzon_21_24,13.1
demand,selng_tmzon_21_24,10.61
demand,agrde_10,11.09
demand,agrde_20,17.8
demand,agrde_30,17.26
demand,agrde_40,14.44
demand,agrde_50,15.18
demand,agrde_60_above,24.24
demand,fml_share,53.98
demand,flpop_wkend,29.27
demand,selng_wkend,25.71
demand,frc_share,12.62
demand,opbiz_rt,2.39
demand,clsbiz_rt,3.05
demand,stor_co,2073.5
demand,trdar_n,7.0
demand,trdar_selng_n,7.0
