kind,key,value
blog_keyword,마포구,95
blog_keyword,홍대점,36
blog_keyword,홍대맛집,23
blog_keyword,홍대입구역,23
blog_keyword,합정,20
blog_keyword,와우산로,19
blog_keyword,데이트,19
blog_keyword,매일,18
blog_keyword,어울마당로,16
blog_keyword,홍대에서,16
blog_keyword,출구에서,13
blog_keyword,홍대데이트,13
blog_keyword,홍익로,12
blog_keyword,도보,11
blog_keyword,서교동,11
blog_keyword,상수,11
blog_keyword,먹고,11
blog_keyword,시간,11
blog_keyword,홍대카페,10
blog_keyword,양화로,10
blog_keyword,샵벤또,10
blog_keyword,오늘은,9
blog_keyword,총정리,9
blog_keyword,정보,9
blog_keyword,가서,9
blog_keyword,홍대본점,8
blog_keyword,근처,8
blog_keyword,맛집을,8
blog_keyword,다음,8
blog_keyword,술집,8
blog_keyword,분위기,8
blog_keyword,이삭토스트,8
blog_keyword,합정역,8
blog_keyword,업체명,8
blog_keyword,디저트,8
blog_keyword,보면,8
blog_keyword,오랜만에,8
blog_keyword,매장,7
blog_keyword,서울특별시,7
blog_keyword,팝업,7
blog_keyword,가성비,7
blog_keyword,지하,7
blog_keyword,합정맛집,7
blog_keyword,일본,7
blog_keyword,장인닭갈비,7
blog_keyword,재미난조각가,7
blog_keyword,마라탕,6
blog_keyword,고기집,6
blog_keyword,잔다리로,6
blog_keyword,메뉴,6
category,카페,180
category,"호프,요리주점",73
category,게스트하우스,54
category,"육류,고기",50
category,한식,50
category,"제과,베이커리",43
category,테마카페,42
category,피부과,42
category,술집,39
category,디저트카페,38
category,양식,36
category,일식,36
category,"공연장,연극극장",36
category,중국요리,34
category,커피전문점,33
category,칵테일바,30
category,실내포장마차,28
category,닭요리,28
category,일본식주점,26
category,약국,22
category,중식,21
category,"돈까스,우동",20
category,전시관,18
category,CU,16
category,"곱창,막창",15
category,GS25,15
category,치과,15
category,일본식라면,14
category,사주카페,13
category,세븐일레븐,13
demand,flpop_tmzon_00_06,15.89
demand,selng_tmzon_00_06,8.02
demand,flpop_tmzon_06_11,14.47
demand,selng_tmzon_06_11,5.14
demand,flpop_tmzon_11_14,14.8
demand,selng_tmzon_11_14,19.47
demand,flpop_tmzon_14_17,18.12
demand,selng_tmzon_14_17,20.59
demand,flpop_tmzon_17_21,24.31
demand,selng_tmzon_17_21,31.91
demand,flpop_tmzon_21_24,12.4
demand,selng_tmzon_21_24,14.86
demand,agrde_10,12.26
demand,agrde_20,37.76
demand,agrde_30,20.35
demand,agrde_40,13.52
demand,agrde_50,8.39
demand,agrde_60_above,7.71
demand,fml_share,54.53
demand,flpop_wkend,31.58
demand,selng_wkend,33.55
demand,frc_share,8.68
demand,opbiz_rt,3.02
demand,clsbiz_rt,3.11
demand,stor_co,5012.25
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
