kind,key,value
blog_keyword,서대문구,238
blog_keyword,신촌역,101
blog_keyword,이대역,101
blog_keyword,신촌점,72
blog_keyword,이대맛집,64
blog_keyword,매일,56
blog_keyword,이화여대,53
blog_keyword,스터디카페,53
blog_keyword,신촌맛집,49
blog_keyword,근처,47
blog_keyword,이화여대길,40
blog_keyword,이대점,37
blog_keyword,오늘은,37
blog_keyword,안녕하세요,35
blog_keyword,연세로,31
blog_keyword,명물길,29
blog_keyword,데이트,29
blog_keyword,이대카페,29
blog_keyword,도보,28
blog_keyword,마포구,28
blog_keyword,가성비,27
blog_keyword,연세대,27
blog_keyword,신촌역맛집,26
blog_keyword,출구에서,25
blog_keyword,신촌로,25
blog_keyword,시간,25
blog_keyword,신촌역로,24
blog_keyword,이대역맛집,24
blog_keyword,정보,24
blog_keyword,호선,24
blog_keyword,연락처,24
blog_keyword,놀숲,24
blog_keyword,분위기,23
blog_keyword,위치한,23
blog_keyword,홍대,23
blog_keyword,신촌카페,23
blog_keyword,디저트,22
blog_keyword,주차,21
blog_keyword,매주,20
blog_keyword,초밥,20
blog_keyword,서울특별시,20
blog_keyword,페즈,20
blog_keyword,서대문,19
blog_keyword,아비꼬,19
blog_keyword,대현동,19
blog_keyword,디델리,19
blog_keyword,사주카페,19
blog_keyword,경의중앙선,18
blog_keyword,근처에,18
blog_keyword,신촌스터디카페,18
category,백반/한정식,321
category,카페,255
category,미용실,179
category,요리 주점,144
category,펜션,138
category,기타 의류 소매업,120
category,편의점,93
category,돼지고기 구이/찜,86
category,입시·교과학원,83
category,기숙사/고시원,78
category,김밥/만두/분식,76
category,피부 관리실,76
category,여관/모텔,71
category,여성 의류 소매업,68
category,경양식,65
category,일식 회/초밥,65
category,화장품 소매업,54
category,중국집,54
category,약국,53
category,슈퍼마켓,50
category,기타 기술/직업 훈련학원,48
category,빵/도넛,44
category,네일숍,44
category,요가/필라테스 학원,43
category,치킨,43
category,기타 교육지원 서비스업,41
category,꽃집,41
category,독서실/스터디 카페,38
category,국/탕/찌개류,37
category,헬스장,37
trend:신촌·이대,2024-08-01,2.85406
trend:신촌·이대,2024-09-01,2.89794
trend:신촌·이대,2024-10-01,2.78556
trend:신촌·이대,2024-11-01,3.59395
trend:신촌·이대,2024-12-01,4.68914
trend:신촌·이대,2025-01-01,3.26757
trend:신촌·이대,2025-02-01,3.89982
trend:신촌·이대,2025-03-01,2.85567
trend:신촌·이대,2025-04-01,2.28251
trend:신촌·이대,2025-05-01,2.70318
trend:신촌·이대,2025-06-01,2.32424
trend:신촌·이대,2025-07-01,2.33481
trend:신촌·이대,2025-08-01,2.45381
trend:신촌·이대,2025-09-01,2.65116
trend:신촌·이대,2025-10-01,2.09931
trend:신촌·이대,2025-11-01,2.57943
trend:신촌·이대,2025-12-01,3.70659
trend:신촌·이대,2026-01-01,2.56063
trend:신촌·이대,2026-02-01,2.31349
trend:신촌·이대,2026-03-01,2.10611
trend:신촌·이대,2026-04-01,1.79702
trend:신촌·이대,2026-05-01,2.93116
trend:신촌·이대,2026-06-01,1.69261
trend:신촌·이대,2026-07-01,1.72556
trend:신촌·이대,2026-08-01,2.25574
demand,flpop_tmzon_00_06,19.72
demand,selng_tmzon_00_06,4.24
demand,flpop_tmzon_06_11,18.0
demand,selng_tmzon_06_11,8.81
demand,flpop_tmzon_11_14,13.88
demand,selng_tmzon_11_14,25.6
demand,flpop_tmzon_14_17,14.45
demand,selng_tmzon_14_17,22.27
demand,flpop_tmzon_17_21,21.12
demand,selng_tmzon_17_21,29.4
demand,flpop_tmzon_21_24,12.83
demand,selng_tmzon_21_24,9.68
demand,agrde_10,9.74
demand,agrde_20,47.11
demand,agrde_30,15.77
demand,agrde_40,10.11
demand,agrde_50,8.41
demand,agrde_60_above,8.86
demand,fml_share,59.17
demand,flpop_wkend,28.93
demand,selng_wkend,22.51
demand,frc_share,13.85
demand,opbiz_rt,2.32
demand,clsbiz_rt,2.78
demand,stor_co,3182.75
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
